label,message
MissedCollection,Address: 12 Orchard Close. Both recycling boxes were ignored by the crew.
GeneralInquiry,Is there a charge for an extra recycling bin? We’ve got a big household and one isn’t enough.
GeneralInquiry,What should I do with plastic bags? Can they go in the recycling bin or not?
MissedCollection,MISSED COLLECTION AGAIN!!! This is ridiculous!!!!!
PositiveFeedback,"I’m writing to express my appreciation for the recycling team. After a rough period last year, things seem much more organised now. Bins are collected on schedule and the area is left tidy. I also appreciate the clear guidance on what can and can’t be recycled. It’s helped our household reduce waste significantly. Please let the team know their efforts haven’t gone unnoticed. Positive feedback is just as important as complaints, and you’ve earned it."
PositiveFeedback,just want to say thanks to the guys who work the somerton route. always friendly and they do a great job. merry christmas to you all!
DamagedProperty,Scratches on wall from bin being dragged. unacceptable.
PositiveFeedback,"Great job, keep it up"
PositiveFeedback,"No late pickups, v reliable"
ServiceComplaint,"recycling everywhere after pickup, pls train staff"
ServiceComplaint,absolutely disgusting service!!! bin juice all over my path AGAIN this morning 😡😡
PositiveFeedback,I'm really impressed with how reliable your collections have been lately. Keep up the good work! Well done team.
GeneralInquiry,what happens if i put the wrong stuff in the recycling bin? will u still take it or leave it???
ServiceComplaint,Crew ignored my assisted collection note completely.
ServiceComplaint,i hate to say but service gotten worse over last months
MissedCollection,"Why was our bin missed in Wellington today? It was out from the night before (because your timing is all over the place), and it’s in the same place it has always been. Your crew collected the glass box from next door but left the recycling bin, which makes zero sense. Are they just picking and choosing? If there’s some new rule, communicate it like adults instead of leaving residents guessing. I’m not doing another week with overflowing recycling. Please confirm the earliest you will return and ensure the system doesn’t mark it collected when it clearly wasn’t. This service is getting worse, not better."
GeneralInquiry,"hi, how do i report a missed bin online?"
ServiceComplaint,The new collection schedule is confusing and no one told us about the change.
ServiceComplaint,Your drivers were very rude when I asked them to move forward a bit—they made a face and drove off. I expect better courtesy from a company that prides itself on community. This happened yesterday at 8 AM.
DamagedProperty,Spilled glass shattered and cut my cat’s paw
PositiveFeedback,Exceptional service! Your team is always professional and the collections are never late. 10/10
MissedCollection,why is my recycling always missed but everyone else’s collected? explain that. im fed up.
DamagedProperty,Fence panel cracked when bin was dragged back.
ServiceComplaint,your guys left the bin in the middle of my driveway so I couldn't get my car in.
GeneralInquiry,how to arrange extra pick up?
GeneralInquiry,What size bins do you offer for families?
PositiveFeedback,"no problems here at all 👍 everything collected as it should be, never missed, and the guys are always polite when i see them. recycling used to be a headache where i lived before, but greenbin makes it easy. just wanted to say cheers and balance out all the moaning you probably get. keep doing what you’re doing."
GeneralInquiry,Are collections running in heavy snow?
PositiveFeedback,Happy customer here 😄
ServiceComplaint,Loud at 6am again. Less noise pls
DamagedProperty,The collection vehicle damaged my fence on the side of the property. Photo attached but I can't see where to upload.
DamagedProperty,Your truck has left tyre marks all over my newly laid driveway. This will cost hundreds to repair.
DamagedProperty,"During the collection today, the lid of my recycling bin was completely snapped off. This did not happen through normal wear and tear, it was very clearly mishandled. The bin was fine when it was put out. Now it’s unusable and will let rain and animals in. I should not have to chase for a replacement because of your staff’s carelessness. Please arrange a new bin and explain how this will be prevented in future."
ServiceComplaint,"I am unhappy with how complaints are handled. There is no follow up, no reference number that works, and no accountability. It feels like shouting into the void."
DamagedProperty,Uszkodzili mój pojemnik na śmieci podczas odbioru.
MissedCollection,"hola, my bin was missed today. again. i dont understand why this keeps happening. same place, same time, no changes. very frustrating and not acceptable."
GeneralInquiry,Is food waste collected weekly?
PositiveFeedback,Never ignore messages
ServiceComplaint,absolutely shocking service lately...  bins thrown around like toys and rubbish left everywhere. sort it out!
PositiveFeedback,Really appreciate the extra help from the driver this morning when I couldn’t move the bin.
MissedCollection,waste collection didnt happen on scheduled day. need to know when its coming
ServiceComplaint,"Hi, I've been dealing with a collection issue for over a month now and no resolution. Frustrated!"
PositiveFeedback,"Someone answered my question so fast, amazing"
ServiceComplaint,The collector bloke was proper rude to me when I asked why he left the bin on the pavement 😡
ServiceComplaint,Bad service.
MissedCollection,My green bin wasn’t emptied today again. This is the second Monday in a row. Please can someone look into it?
MissedCollection,bin still full. why?
GeneralInquiry,"Morning, I moved house recently to Somerset. How do I register for your waste collection service please? New address is 23 Oak Lane, Chard."
ServiceComplaint,The crew were quite rude when I asked a question this morning.
MissedCollection,Bin still full. Pls empty.
ServiceComplaint,"I’m complaining about the way you handle complaints (yes, the irony). You close them without resolution. I reported an issue, got an email that said “resolved”, and literally nothing changed. No follow-up call, no visit, no explanation. It feels like your KPI is to close tickets fast, not to fix problems. I’m in Wells. This is not acceptable. If you are contracted by the council, then transparency matters. I want an actual response from a person who has authority, including what happened, what you did, and what will be different next time. If you can’t provide that, I’ll submit a Freedom of Information request to the council about service standards."
MissedCollection,"This is now the third time in six weeks that our recycling has not been collected on the scheduled day. We live just outside a village in Somerset, and it feels like rural routes are being deprioritised. The bin was clearly visible, not blocked by cars, and correctly filled. I’m concerned about hygiene as materials are piling up. Please advise what is being done to prevent these repeated missed collections and whether a catch-up service will be provided soon."
ServiceComplaint,"today collection very late, please stick to times"
ServiceComplaint,"The noise from your trucks at 5:30 AM is absolutely unacceptable. I understand that collections need to start early, but the crashing of glass bottles at that hour wakes up the entire street, including my young children. Is there any way the route can be adjusted so that residential areas are handled slightly later in the morning? It's becoming a real issue for our quality of sleep. Also, the drivers seem to be shouting to each other constantly which adds to the disturbance. Please look into noise reduction measures."
PositiveFeedback,just wanted to say thanks for the lovely service
MissedCollection,"hiya, didnt get my collection 2day, help??"
ServiceComplaint,drivers were rude when i asked a question
ServiceComplaint,rubbish left on grass every time
ServiceComplaint,"your service has gone downhill massively. it used to be fine but now it’s chaos. drivers rushing, bins left in the road, collections missed, and no one ever answers emails. i don’t care about excuses, i care about results."
ServiceComplaint,"It’s really hard to understand collection schedules sometimes! Can you simplify it, please?"
GeneralInquiry,What do i do with old paint tins?
GeneralInquiry,"What’s your advice for recycling tricky materials, like plastic film or Styrofoam?"
MissedCollection,"hola, no recogieron el cubo hoy"
DamagedProperty,Bin lid missing after collection??
PositiveFeedback,Love the new bright green bins! Much better than the old black ones.
MissedCollection,bin still sat out nobody picks it up
PositiveFeedback,absolutely delighted with your service. keeps getting better.  well done team!  👍
MissedCollection,Neither of my bins have been collected this week. This is not acceptable.
GeneralInquiry,Any holiday changes?
GeneralInquiry,Are collections affected by bank holidays this month?
DamagedProperty,"Bin wheels broken, can’t move it now."
GeneralInquiry,Is it okay to put pizza boxes in with the cardboard recycling if they’re slightly greasy? I’ve had conflicting advice.
PositiveFeedback,Really appreciate how clean the street looks after collection. Great job everyone! 🌱
MissedCollection,Bin missed again. Not sure what else to do
GeneralInquiry,Which days are garden waste pick up?
GeneralInquiry,How do I report a damaged bin? The lid is cracked and won't close properly.
MissedCollection,WHY WASNT MY BIN COLLECTED
DamagedProperty,"Hi, one of your crew dropped the bin and it smashed the wheel. Bin unusable now."
MissedCollection,bin missed. 3rd time. why?? sort it.
MissedCollection,No collection for the third consecutive week. This is becoming a serious problem. Please resolve urgently.
MissedCollection,"Green bin missed today, rain now soaked everything 🙄"
DamagedProperty,my solar light smashed after bins left in wind
MissedCollection,Can you collect missed bin this afternoon?
ServiceComplaint,"Why messed up schedule last month, no comms"
MissedCollection,"Hello, I understand collection schedules can shift during holidays, but my bin was not collected on 26 December as indicated on your website. It’s now full of cardboard and glass. Could you update me on when the next pickup will occur? Thank you."
DamagedProperty,Solar lamp finished after pickup
PositiveFeedback,Quick response to my query and problem solved same day.
PositiveFeedback,Love how green and eco friendly you guys are. Keep doing what you're doing! 🌍♻️
PositiveFeedback,Really appreciate how quick you were with the replacement bin last week. Top service!
PositiveFeedback,Great.
MissedCollection,Bin not collected today 01/11.
MissedCollection,Missed collection again this morning. I watched the truck go past without stopping. Not sure why our property is always skipped. Please investigate.
MissedCollection,"Hello GreenBin, our recycling was missed today (Tuesday). Neighbours got done but ours didn't."
ServiceComplaint,Do you train staff for careful handling
MissedCollection,"GreenBin, I’m a new resident at 12 Seaview Flats, Minehead, and followed the digital calendar which listed Friday for recycling. Put the bin out by 7 am. My neighbour says the day changed to Thursday last month yet the website didn’t update. So unsurprisingly no collection happened. Could you confirm the correct day and perhaps collect our backlog? We have limited space in a second-floor flat and storing bags of bottles is a nightmare. Apologies if I read outdated info, but it would be great if the online schedule could be synced with printed leaflets. Thanks for understanding; settling into a new place is stressful enough without sorting bin mysteries."
MissedCollection,oi greenbin u lot forgot my bin 3 weeks running now sort it out u muppets
GeneralInquiry,"Hello, I’ve just moved to Bridgwater and wanted to ask what day recycling is collected for flats? Not sure which bin is which."
MissedCollection,"why was our recycling not collected today?? no note, no email, nothing. bin is full and now we have to keep it another two weeks?? thats not ok. please explain what happened and when you’re coming back."
DamagedProperty,The bin was dropped from height and now has a massive split. Cannot use it anymore.
ServiceComplaint,Your customer service phone line never answers.
ServiceComplaint,Your drivers are absolute cowboys!! Nearly knocked my car mirror off this morning reversing like maniacs down our narrow street. Been happening for weeks now. Someone's gonna get hurt soon. Please train them properly!!
PositiveFeedback,Quick and efficient service today.
ServiceComplaint,Your emails never get replied to.
GeneralInquiry,Hi - I'm moving house next month.  How do I transfer my service to the new address?
MissedCollection,missed collection in chard today.
DamagedProperty,Your bin lorry reversed into my car this morning. Big dent in the door. I expect full responsibility.
ServiceComplaint,what’s with never replacing broken bins? had to call 3x
DamagedProperty,"Wheel came off bin, dangerous for kids. replacement?"
ServiceComplaint,drivers noisy
MissedCollection,missed again!!!!!! when r u gonna fix this???????? postcode TA8 1AA
PositiveFeedback,Just wanted to say thank you for being so reliable. Makes a big difference :)
ServiceComplaint,This is ridiculous. Every week the collectors leave rubbish all over the street. Do they even care? We pay for this service!
MissedCollection,you missed us AGAIN. what do we have to do to get a proper service round here??
ServiceComplaint,"Used to recommend you, but standards have definitely slipped."
ServiceComplaint,"I would like to raise a complaint regarding the behaviour of the collection staff. On several occasions they have been loud, rude, and careless early in the morning. Shouting, banging bins, and revving engines outside residential houses at 6am is completely unacceptable. I have young children and this constantly wakes them. I appreciate it’s a physical job, but that doesn’t excuse the lack of consideration. I’ve tried to be patient but this has been going on for months. Please address this with your crews and confirm what steps you will take to ensure residents are treated with basic respect."
PositiveFeedback,Great job even in bad weather!
ServiceComplaint,why do they always come so early?? 6:15 this morning!! some of us are trying to sleep you know
ServiceComplaint,Collection times are all over the place!!!
ServiceComplaint,Your staff need better training.  They left my bin blocking my car in the driveway and I was late for work because of it.
PositiveFeedback,"Thank you for the extra caddy bags, much appreciated!"
MissedCollection,forgot my bin again. do i need to rebook??
DamagedProperty,The side fence is loose after being hit by bin crew
MissedCollection,"hola, my recycling has not been picked up AGAIN. i dont understand how this keeps happening. same day every week, same setup. im really frustrated and this is starting to affect how i view the whole service. please fix this."
ServiceComplaint,don’t seem to care about residents or property
ServiceComplaint,Why does your customer service not answer phones?
PositiveFeedback,Five stars for GreenBin!
ServiceComplaint,"Buenos días, quiero presentar una queja sobre el servicio de reciclaje esta semana. Viajé por trabajo y dejé el contenedor listo, pero nadie vino. Gracias."
ServiceComplaint,"I want to lodge a formal complaint about how rude your customer service agent was on the phone this morning. I called about a simple question (replacement lid availability) and the person spoke over me, sighed loudly, and said “it’s all on the website” before basically rushing me off the call. I’m sorry, but I’m not a nuisance for expecting basic courtesy. Also, the website is not clear and the search function is terrible on mobile. If GreenBin is taking on public-facing contracts, you need to train staff to speak to residents like human beings. I want the call reviewed and I want confirmation of what your policy is for replacement parts without making me feel like I’m begging."
GeneralInquiry,Where can I find the collection calendar?
DamagedProperty,Your truck hit my gatepost!! It's wooden and now cracked badly.
ServiceComplaint,Your system says collected but it absolutely wasn’t.
PositiveFeedback,Thank you for great work.
MissedCollection,Nothing collected last 2 Fridays
ServiceComplaint,Why so many delays lately
GeneralInquiry,"Hi GreenBin, do you offer any incentives for recycling more plastics? Curious if you have a reward system. Thanks!"
PositiveFeedback,Just wanted to say thank you for always being respectful of our garden. You lot do a great job :)
MissedCollection,why does no one collect from my area lately?
GeneralInquiry,hi how do i get a new green bin? mine got stolen last night :(
MissedCollection,"no one came for the recycling this morning, bin still full outside 😡 what’s going on?"
DamagedProperty,"After your crew collected bins, i noticed the gate latch is broken. It worked fine before. Please send someone to repair or compensate."
MissedCollection,bin still here mate. 3rd week running. getting sick of this
MissedCollection,Can we arrange quick catch up for missed bins?
MissedCollection,no one came for the bin again. second time this month. whats going on
MissedCollection,Can someone pick up my recycling
ServiceComplaint,I want to file a complaint. The bins were emptied but they left half the rubbish on the pavement. Kids kicked it everywhere. Not acceptable.
ServiceComplaint,"your app notifications are useless, says collected when its not"
MissedCollection,"why always my street missed, not others?"
PositiveFeedback,Keep up the good work Greenbin!
ServiceComplaint,Team laughed at my complaint
MissedCollection,Bin wasn’t collected for the third week running. Please explain why and when it will be picked up. Very disappointed.
GeneralInquiry,"Hi, just moved to Somerset, can you tell me which day green bin collections happen for flats?"
ServiceComplaint,"I’m contacting you because your “replacement bin” process is ridiculous. Our bin was stolen (it happens) and your website says to request a new one, but then it asks for details you don’t actually provide anywhere. Then it says delivery could be “up to 21 working days” — so basically a month. Meanwhile you still expect us to present recycling, but in what? A shopping trolley? I’m in Frome and I’m not storing loose waste in the garden. I want a temporary solution or a faster replacement. And don’t tell me to buy one privately; we pay for a service and the bins are part of it."
MissedCollection,"Hola, mi contenedor no fue recogido ayer, ¿pueden ayudarme? (Spanish: MissedCollection)"
ServiceComplaint,why do your drivers always leave the bins on the grass instead of putting them back on the hard standing?? ruins the lawn!!
MissedCollection,missed recyclin collection. plz send someone.
GeneralInquiry,How do i order a new sticker for bins?
DamagedProperty,Wheel snapped off bin.
MissedCollection,Another missed collection. At this point it feels deliberate.
ServiceComplaint,The crew were very rude this morning and refused to take the bin because the lid was slightly open. Not impressed.
ServiceComplaint,Your driver reversed into my wall and just drove off! Absolute disgrace of a service.
MissedCollection,bin not collected 3 weeks running now. getting very angry about this
DamagedProperty,the big green bin crashed into my steps n chipped the edge. was fine b4. fix plz
MissedCollection,Can you advise on missed collection process?
GeneralInquiry,How do I report if my recycling bin is lost or stolen? Is there a fee for a new one?
MissedCollection,Nobody picked our bins up this week. Please help.
MissedCollection,bin collection never reliable
ServiceComplaint,Your website is a nightmare to navigate. Trying to find the bank holiday schedule is impossible.
MissedCollection,please collect my bin. you missed it. again.
DamagedProperty,"Your lorry damaged my garden wall this morning in Bridgwater and I am absolutely furious. The driver swung in too wide and clipped the corner, knocking loose bricks and scraping the coping stones. Don’t even think about pretending it “was already like that” — I have photos from last weekend and CCTV from my doorbell showing the impact and the vehicle. The crew then drove off without even knocking to inform me. That’s dishonest. I want this logged as a property damage claim immediately and I want someone from your insurance/claims team to contact me. I will be getting quotes for repair, and yes, you will be paying. If you ignore this, I’ll go through the council and small claims."
GeneralInquiry,do you take glass jars in the green bin or not?
MissedCollection,"no show today, pls rearrange"
ServiceComplaint,I’ve reported this twice already but no one seems to read it. Your customer service is awful.
PositiveFeedback,Always on time and never had an issue. Credit where it’s due.
DamagedProperty,My compost bin cracked at the base after being dropped.
PositiveFeedback,"really happy with our collections, keep up the good work"
GeneralInquiry,Can you tell me what plastics are accepted in the green bin?
MissedCollection,"hey greenbin, nobody came for the bins today, pls sort asap"
PositiveFeedback,Always impressed with how polite the team are in our area.
PositiveFeedback,Great job.
ServiceComplaint,The crew seemed careless.
MissedCollection,bin not collected mate!!!!!! been waiting since last thurs and nothing. bin day is supposed to be wednesday. what gives??
ServiceComplaint,Driver blocked my driveway and refused to move.
DamagedProperty,one of ur drivers left wheel tracks all over our grass and ruined it. this is NOT okay!!
DamagedProperty,The base of the bin is totally split. unusable
GeneralInquiry,"Lost my bin sticker, what to do"
DamagedProperty,Bin lorry has cracked my paving slabs where they parked. Going to need professional repair work done.
MissedCollection,missed collection today bin still full when will u come back??
MissedCollection,missed collection at BA11 2AB. blue bag still out.
MissedCollection,missed collection AGAIN.  victoria street.  getting fed up with this
PositiveFeedback,Was great to see careful handling of bins
PositiveFeedback,Great job GreenBin! Collection was super early this morning and everything was done perfectly. Thanks for being reliable! 🌱
PositiveFeedback,Top service from greenbin lads always bang on time and polite. nice one
PositiveFeedback,Always neatly placed after
MissedCollection,You missed my collection two weeks running now. Getting really frustrated. Can you send someone out this week?
ServiceComplaint,Your team always seems to finish early on my street but leave our bin full. Feels like we're being ignored.
MissedCollection,again missed. losing patience now. bin overflowing and smells.
ServiceComplaint,I’m sick of having bins left half-emptied every week. What kind of service is this?
DamagedProperty,Your worker dropped my bin from height and cracked the bottom. Please replace.
ServiceComplaint,Service quality has gone downhill recently.
GeneralInquiry,Can I change my collection day because of work?
MissedCollection,Green bin left on the pavement in Wells. Please send someone back.
GeneralInquiry,"Hello, is there a charge for an extra recycling bin? Interested in getting one."
ServiceComplaint,"Bins get thrown around like rubbish, no care at all."
MissedCollection,Missed collection AGAIN – can you sort this?
MissedCollection,Still no collection after reporting last time
GeneralInquiry,Do you collect hazardous waste like batteries?
DamagedProperty,"I am extremely angry about the damage caused to my property during the last collection. Your crew managed to crack the edge of my driveway while dragging the bin back, and then just left without saying anything. I only noticed when I got home. This is private property and the damage was clearly caused by careless handling. I expect this to be taken seriously and repaired."
GeneralInquiry,quick one - what can actually go in the brown food waste caddy thing? got some confusion about meat and bones. cheers
PositiveFeedback,Never missed a collection yet!
MissedCollection,I cant keep having this collection missed all the time
DamagedProperty,Your lorry clipped my garden wall this morning and drove off. There’s visible damage to the bricks.
GeneralInquiry,Are glass jars ok to recycle?  Do they need to be washed?
GeneralInquiry,Do you offer commercial recycling or just residential?
PositiveFeedback,good work during icy days
DamagedProperty,I noticed after collection that my fence panel has been knocked over and broken. It was fine before the bin men came. Please can you investigate and repair/replace? Thank you.
ServiceComplaint,The collection was so aggressive bins were left dented and rolled into the street. Unprofessional
DamagedProperty,"Bin cracked down the side after collection, looks like it got crushed. Need a replacement."
DamagedProperty,"Car mirror clipped by truck, very unhappy."
DamagedProperty,Damage occurred.
PositiveFeedback,Exceptional service quality! The team always handles our bins with care. Highly impressed!
ServiceComplaint,I called about a missed collection 2 weeks ago and still haven't heard back.
DamagedProperty,Damage to my wall caused by your staff today. Expecting contact.
MissedCollection,my collection was missed yestady. again. not happy
GeneralInquiry,What items are not allowed in the general waste bin?
MissedCollection,Third time missing bin in a month.
GeneralInquiry,What should I do if I've missed the collection deadline to put my bins out?
DamagedProperty,Car scratched by team leaving bins
MissedCollection,missed again today. second time in two weeks now.
MissedCollection,The whole cul-de-sac at St Mary's Close was missed today. The truck didn't even enter the street. We all have our bins out. Please can you send a crew back to us? We are a group of 10 houses. Thanks.
ServiceComplaint,There needs to be better communication when services are disrupted. Silence just leads to frustration. Complaining about the lack of updates.
PositiveFeedback,love the new blue bag system. much easier.
ServiceComplaint,Collections are getting later and later each week. Sometimes you don't arrive until evening.
MissedCollection,"Hello GreenBin team, Unfortunately our recycling bin was not collected on the scheduled date (Tuesday). Could you please arrange for a collection soon? Thank you."
PositiveFeedback,Thank you for such reliable service week after week. Really appreciate it!
PositiveFeedback,"Cant fault your service. Professional, efficient, and environmentally conscious.  Love it!"
PositiveFeedback,Just moved to Somerset and your service is fantastic compared to my old area. Reliable and friendly staff.
ServiceComplaint,The crew left my recycling scattered on the pavement. It took me 45 minutes to clean up. Why isn’t your team more careful?
ServiceComplaint,"Your app’s route tracker is always wrong. It showed the truck arriving at 7:15, but no one came until 10:30. This delay caused my family major inconvenience."
GeneralInquiry,What is the policy on putting out bins the night before?
DamagedProperty,😠 dayum! My gate latch came apart cuz yer crew handled it poorly. So annoyed right now!
GeneralInquiry,Do I need to rinse out tins and bottles before recycling?
PositiveFeedback,cant fault the service tbh. always on time and very professional
MissedCollection,bin not emptied. shocker. logging it so theres a paper trail.
DamagedProperty,Your worker dragged my bin across my driveway and left deep marks on the tarmac. Need this fixed.
ServiceComplaint,The lads were arguing loudly in the street this morning. Not very professional.
PositiveFeedback,GreenBin staff are always helpful and the service is consistent. Would definitely recommend
PositiveFeedback,"Bins collected on time, no issues at all."
GeneralInquiry,How much does it cost to get a replacement bin if mine is broken?
MissedCollection,no collection today?? waited all day and nothing. pls respond.
MissedCollection,"Yo, collection crew skipped us again (Wick Road, Burnham-on-Sea). Saw the lorry outside at 07:10, thought all good, but when I got back from the school run the green bin was still bursting. Glass rattling around everywhere. That’s three strikes in six weeks. Starting to think the sensors on the truck might be dodgy or maybe the new driver doesn’t like our corner spot. Either way we’re drowning in bottles after Christmas. The kids keep poking them with sticks and it’s only a matter of time before one smashes. Need you to swing by asap or point me to a local drop-off."
MissedCollection,bins still here...  not collected.  really need them emptied
MissedCollection,"no recyling pick up this week, bin still out, not first time"
MissedCollection,"Our recycling was due for collection on Monday and as of Wednesday, it’s still outside. Can you please update me on when it will be collected? This is becoming a pattern."
MissedCollection,They took the rubbish bin but not recycling??
PositiveFeedback,"Staff is always smiling and helpful, cheers 😊"
MissedCollection,"?? why no bin collexion TODAY, greenbin??"
DamagedProperty,Damage to driveway.
DamagedProperty,"GreenBin smashed the lid and hinge on our recycling bin in Taunton. I watched the worker yank it up, slam it down, and now the lid won’t close. So now rain gets in, it stinks, and then you’ll probably refuse to collect because it’s “too heavy”. The worst part is the attitude—he shrugged like it was nothing. It IS something because this bin is your equipment and I’m not paying for a broken one. I want a replacement bin or at least a replacement lid delivered urgently, not in three weeks. And I want confirmation you’ve recorded it as damage caused by your crew, not “wear and tear”."
MissedCollection,"hi team, recycling calendar says collection due today but truck never showed for our little hamlet (woodlea cottages, exford). roads are icy but passable; postie made it fine. we’re on the school run route so please could you prioritise? our bin is overflowing with cereal boxes and milk jugs. we have no garage so stuff is piling up in the porch. if conditions are too dangerous we understand, just drop a note so we can plan a tip run when daylight returns. thanks in advance and stay safe on the lanes."
PositiveFeedback,Top service from GreenBin Recycling!
DamagedProperty,my blue recycling bin has a huge crack down the side after last weeks collection. needs replacing asap
MissedCollection,bin missed. again. logging it. again. expecting a reply. again. lets see what happens this time.
ServiceComplaint,"absolutely shocking service, bin still here 5 days later"
MissedCollection,guys drive past my house never stop
DamagedProperty,My driveway wall was chipped by the lorry when reversing this morning.
ServiceComplaint,Bins always blocking the path
GeneralInquiry,What size bins do you provide and can I swap for a different size?
PositiveFeedback,Always positive about service
MissedCollection,My recycling bin wasn’t collected today even though it was out by 6am. Please advise.
MissedCollection,MISSED COLLECTION TUESDAY? ????
DamagedProperty,Your lorry damaged my gatepost. Need this sorted urgently please.
MissedCollection,missed pickup pls arrange asap
GeneralInquiry,Looking for info on commercial recycling options.
DamagedProperty,The bin lid is cracked after today’s collection. It was fine before.
PositiveFeedback,"Shout out to the crew today, working hard in the rain!"
PositiveFeedback,"Excellent!! World-class system—you’ve made recycling super easy for me, bravo 👏"
DamagedProperty,My bin is completely smashed after your collection last week. Looks like it was run over.
MissedCollection,4th time missed in 6 weeks. What is going on??
ServiceComplaint,Bin collectors blocking driveway and didn't apologise.
DamagedProperty,cracked bin AGAIN after crew emptied
DamagedProperty,Your vehicle has scratched my car while maneuvering in my narrow drive. Clear paint damage on passenger side.
MissedCollection,no pick up today even tho app said yes
MissedCollection,"bin not emptied AGAIN. i’m actually laughing at this point because it’s so bad. monday collection my arse. it’s wednesday and the bin is still full, flies everywhere, kids won’t go near it. don’t tell me it’s because it was ‘contaminated’ because it wasn’t, i KNOW what goes in there and i checked your website (painful experience btw). every time i ring i get told someone will ‘look into it’ and then nothing. honestly do you even have a route for this road or do you just flip a coin??? fix it. i’m sick of wasting my time filling forms like this. absolute joke of a service 😡😡😡"
MissedCollection,Bin not emptied for second week running. Getting ridiculous now.
GeneralInquiry,when is the next bank holiday collection change? my calendar says next monday is a bank hol but not sure if bins move
MissedCollection,"Truck came yesterday but didn’t empty ours, odd."
PositiveFeedback,Big thanks to the workers out in terrible weather today.
GeneralInquiry,How to recycle hangers
PositiveFeedback,"Just wanted to say thanks to the lads on the green truck today, always friendly and quick 👍"
MissedCollection,"why is it always our house??? everyone else’s bin gets done eventually but ours just sits there like a green monument to incompetence. same spot, same routine, same problem. if there’s an issue with the address then FIX IT. i’m done being polite."
DamagedProperty,side mirror snapped on my van while you were collecting
ServiceComplaint,"Tried calling twice this week, no answer either time."
MissedCollection,"bin not emptied, ref 12345"
GeneralInquiry,How long does it take to get a replacement bin after reporting damage?
ServiceComplaint,"Drivers keep stopping right across the junction, causes chaos at school run."
DamagedProperty,"Fence scratched, bin slammed into it. not ok."
ServiceComplaint,You REALLY need to sort out the call hold time
MissedCollection,recycling guys drove right past my house and didn't stop? why?
MissedCollection,"nothing picked up, kids nappies piling up, not happy"
DamagedProperty,Our outside tap was broken by the collection truck and its costing us to fix
ServiceComplaint,Your driver was playing very loud music at 6:30am this morning. Woke the whole street up. Not acceptable!
PositiveFeedback,"Great service even in bad weather, respect to the crew."
MissedCollection,missed pickup AGAIN!!! im working from home and watched the lorry drive straight past
GeneralInquiry,How do I report a lost bin? Someone nicked mine last night.
PositiveFeedback,"very happy with the new food waste caddy scheme, easy to use and collection is spot on every time"
PositiveFeedback,"Just wanted to say thanks to the driver this morning, always friendly and careful with the bins 😊"
ServiceComplaint,"Hi, I’ve noticed the collection crews often spill recycling onto the street and don’t pick it up. Happens every week. Very frustrating."
MissedCollection,Recycling not collected. AGAIN. I’m fed up of calling every week. Sort it out!
PositiveFeedback,"Excellent service overall, collections are reliable and the staff do a great job."
DamagedProperty,damaged wall during collection.
GeneralInquiry,"Hello, how long does it take to get a new bin delivered after ordering?"
GeneralInquiry,Is there a phone number to call?
ServiceComplaint,No follow-up after my last report.
MissedCollection,collection skipped today
MissedCollection,"hey my bin didnt get emptied, put it out same as always"
DamagedProperty,lid smashed on my green bin after collection 😡
GeneralInquiry,Do I need to rinse every bottle?
MissedCollection,"Hello, I noticed that my recycling bin was not collected yesterday. Could you please let me know why? Thanks."
DamagedProperty,My bin is damaged after collection.
DamagedProperty,ur man put the bin back so hard it cracked my nice new patio slab. what compensation am I getting??
DamagedProperty,"Hi GreenBin, your lorry damaged my driveway curb this morning. Please can someone come and assess?"
MissedCollection,Missed bin. EX3 postcode. Please come back.
ServiceComplaint,your staff were very rude when I tried to ask a question this morning.
DamagedProperty,your staff broke my wheely bin lid
MissedCollection,"Bin day was yesterday and nothing's been taken. Green bin still full, food waste starting to smell. Please advise."
GeneralInquiry,Just checking when the next collection is after Christmas.
MissedCollection,third week in a row no pickup. unacceptable
MissedCollection,"anothr week, anothr missd bin. Not cool guys. HELPP!!!"
DamagedProperty,"Hi GreenBin team, unfortunately the driver damaged my driveway curb while collecting today. Could someone come and assess please? Thank you."
MissedCollection,no 1 came 2 collect the bins AGAIN. 3rd time in 2 months!! can u pls fix this. its the green bin btw. thanks.
ServiceComplaint,Not happy at all!!! same issues every month!!!!
PositiveFeedback,"Just wanted to say a big thank you, your drivers are always so polite and do a fantastic job 👏👏"
PositiveFeedback,Good service all year
DamagedProperty,damage to my wall by collection team needs fixing
ServiceComplaint,why do u always leave the lids open? its gonna rain.
PositiveFeedback,kids love the truck
GeneralInquiry,Do you offer a commercial waste collection service? Looking for quotes for our small business
ServiceComplaint,Bins left blocking driveway.
GeneralInquiry,"Good afternoon, I’m considering switching to GreenBin Recycling for my household. Could you please let me know what materials you accept, your pricing tiers, and how to schedule an initial pickup? Thank you."
MissedCollection,"Collection missed, dog got into the rubbish now. great."
MissedCollection,"guys, bin still here, didnt pick up :("
ServiceComplaint,Bins left blocking the driveway for hours after collection. Very inconsiderate.
ServiceComplaint,no response to my complaints at all
GeneralInquiry,Do you guys offer commercial recycling services in Bath?
MissedCollection,bin still waiting to be emptied
MissedCollection,"hello, my bin was not picked up today at BA11 4LD. i checked with my neighbors and they said theirs were done around 10am. mine was out since 6am. can you please check if there was a problem with the truck or if they just missed my house? i really need it emptied as it is full of cardboard from moving house. thank you."
